,Text,Noun_phrase
0,Product and geography are what make cream skimming work .,"['Product and geography', 'cream', 'work']"
1,You lose the things to the following level if the people recall .,"['You', 'the things', 'the following level', 'the people']"
2,A member of my team will execute your orders with immense precision .,"['A member of my team', 'A member', 'my team', 'your orders', 'immense precision']"
3,This information belongs to them .,"['This information', 'them']"
4,The tennis shoes have a range of prices .,"['The tennis shoes', 'a range of prices', 'a range', 'prices']"
5,I 'm upset that my walkman broke and now I have to turn the stereo up really loud .,"['I', 'my walkman', 'I', 'the stereo']"
6,Most of the Christian mosaics were destroyed by Muslims .,"['Most of the Christian mosaics', 'Most', 'the Christian mosaics', 'Muslims']"
7,Slate had an opinion on Jackson 's findings .,"['Slate', ""an opinion on Jackson 's findings"", 'an opinion', ""Jackson 's findings"", ""Jackson 's""]"
8,Heterosexuals .,['Heterosexuals .']
9,Place des Vosges is constructed entirely of gray marble .,"['Place des Vosges', 'gray marble']"
10,I burst through the doors and fell down .,"['I', 'the doors']"
11,Fun for only children .,"['Fun for only children .', 'Fun', 'only children']"
12,All of the questions were interesting according to a focus group consulted on the subject .,"['All of the questions', 'All', 'the questions', 'a focus group consulted on the subject', 'a focus group', 'the subject']"
13,The capital near Memphis lasted only half a century before its inhabitants abandoned it for the next capital .,"['The capital near Memphis', 'The capital', 'Memphis', 'only half a century', 'its inhabitants', 'it', 'the next capital']"
14,I am concerned more about your issues than the near-term rate implications .,"['I', 'your issues', 'the near-term rate implications']"
15,Problems in data synthesis .,"['Problems in data synthesis .', 'Problems', 'data synthesis']"
16,"You can see that on television , as well .","['You', 'that on television , as well', 'that on television', 'that', 'television']"
17,Neither Vrenna nor myself have ever fought him .,"['Neither Vrenna nor myself', 'Vrenna', 'myself', 'him']"
18,The analysis proves that there is no link between PM and bronchitis .,"['The analysis', 'there', 'no link between PM and bronchitis', 'no link', 'PM and bronchitis']"
19,He smiled at Vrenna who was walking slowly behind him with her mother .,"['He', 'Vrenna who was walking slowly behind him with her mother', 'Vrenna', 'him', 'her mother']"
20,We want to identify practices commonly used by agencies in the last 5 years,"['We', 'practices commonly used by agencies in the last 5 years', 'practices', 'agencies in the last 5 years', 'agencies', 'the last 5 years']"
21,The other men were shuffled around .,['The other men']
22,Itis not necessary for there to be any improvement .,"['Itis', 'any improvement']"
23,It has been very intriguing .,['It']
24,He returned slowly to the bunkhouse .,"['He', 'the bunkhouse']"
0,"Produkt und Geographie sind das , was creme abschöpfen Arbeit macht .","['Produkt und Geographie sind das', 'Produkt und Geographie', 'sind das', 'creme abschöpfen Arbeit macht']"
1,"Man verliert die Dinge auf die folgende Ebene , wenn sich die Leute erinnern .","['Man verliert', 'Dinge auf', 'folgende Ebene', 'wenn sich', 'Leute erinnern']"
2,Ein Mitglied meines Teams wird ihre Aufträge mit großer Präzision ausführen .,"['Ein Mitglied', 'Teams', 'wird ihre Aufträge mit großer Präzision ausführen', 'wird ihre', 'Aufträge mit großer Präzision ausführen']"
3,Diese Information gehört ihnen .,"['Diese Information', 'gehört ihnen']"
4,Die Tennis Schuhe haben eine Reihe von Preisen .,"['Tennis Schuhe', 'haben eine Reihe von Preisen']"
5,"Ich bin sauer , dass mein Walkman kaputt ist , und jetzt muss ich die Stereoanlage richtig laut drehen .","['Ich bin sauer', 'dass mein Walkman', 'kaputt ist , und jetzt', 'kaputt ist', 'und jetzt', 'muss ich', 'Stereoanlage richtig laut drehen']"
6,Die meisten christlichen Mosaiken wurden von Muslimen zerstört .,"['meisten christlichen', 'Mosaiken wurden von Muslimen zerstört', 'Mosaiken wurden von Muslimen', 'zerstört']"
7,Schiefer hatte eine Meinung zu den Ergebnissen von Jackson .,"['Schiefer', 'hatte eine', 'Meinung zu', 'den', 'Ergebnissen von Jackson']"
8,Heterosexuelle .,['Heterosexuelle .']
9,Der Place des Vosges ist komplett aus grauem Marmor gebaut .,"['Der Place des Vosges ist komplett aus grauem Marmor gebaut .', 'Der Place des Vosges', 'ist komplett aus grauem Marmor gebaut', 'ist komplett aus grauem Marmor', 'gebaut']"
10,Ich brach durch die Türen und fiel runter .,"['Ich brach durch', 'Türen', 'und fiel runter']"
11,Spaß für nur Kinder .,['Spaß für nur Kinder .']
12,"Alle Fragen waren nach einer konzentrieren , die zu diesem Thema Konsultiert wurde , interessant .","['Alle Fragen waren nach einer konzentrieren', 'Alle Fragen waren', 'nach einer konzentrieren', 'zu diesem Thema Konsultiert wurde , interessant']"
13,"Die Hauptstadt in der Nähe von Memphis dauerte nur ein halbes Jahrhundert , bevor die Bewohner sie für die nächste Hauptstadt verließen .","['Hauptstadt', 'der Nähe von Memphis dauerte nur ein halbes Jahrhundert', 'der Nähe von Memphis', 'dauerte nur ein', 'Jahrhundert', 'bevor', 'Bewohner sie für', 'nächste Hauptstadt verließen']"
14,Ich sorge mich mehr um ihre Probleme als um die Auswirkungen auf die kurz-und langfristigen Auswirkungen .,"['Ich sorge mich mehr', 'ihre Probleme als', 'Auswirkungen auf', 'kurz-und langfristigen', 'Auswirkungen']"
15,Probleme im Zusammenhang mit der Daten-Synthese .,"['Probleme im', 'Zusammenhang mit', 'der Daten-Synthese']"
16,Das kann man auch im Fernsehen sehen .,"['Das kann man auch im Fernsehen sehen .', 'Das kann', 'man auch im Fernsehen sehen']"
17,Weder entschied noch ich haben jemals gegen ihn gekämpft .,"['Weder', 'noch ich haben jemals', 'ihn gekämpft']"
18,"Die Analyse zeigt , dass es keine Verbindung zwischen PM und Bronchitis gibt .","['Analyse zeigt', 'dass es', 'Verbindung zwischen', 'Bronchitis gibt']"
19,"Er lächelte entschied an , der mit ihrer Mutter langsam hinter sich ging .","['lächelte', 'an , der mit ihrer Mutter langsam hinter sich ging', 'der mit ihrer Mutter langsam hinter sich']"
20,"Wir wollen die Praktiken identifizieren , die in den letzten 5 Jahren häufig von Agenturen verwendet werden .","['Wir wollen', 'Praktiken identifizieren', 'den', 'letzten 5 Jahren häufig von Agenturen verwendet werden']"
21,Die anderen Männer wurden in die Gegend gemischt .,"['Männer wurden in die Gegend gemischt', 'Männer wurden', 'die Gegend gemischt']"
22,"Es ist nicht notwendig , dass es eine Verbesserung gibt .","['Es ist nicht', 'notwendig', 'dass es', 'Verbesserung gibt']"
23,Es war sehr faszinierend .,['Es war sehr faszinierend .']
24,Er kehrte langsam in die Baracke zurück .,"['Er kehrte langsam in die Baracke zurück .', 'kehrte langsam', 'die Baracke zurück']"
